gauge,filename,source_path,processed_path,size_bytes,reference_angle
man1,man1_61.png,data\raw\Aalborg\4 Test of videos\man1\man1_61.png,data\processed\aalborg_clean\man1\man1_61.png,6861,-2.8425748447648562
man1,man1_62.png,data\raw\Aalborg\4 Test of videos\man1\man1_62.png,data\processed\aalborg_clean\man1\man1_62.png,8553,-2.8413522727757483
man1,man1_63.png,data\raw\Aalborg\4 Test of videos\man1\man1_63.png,data\processed\aalborg_clean\man1\man1_63.png,7508,-2.8421543506334612
man1,man1_64.png,data\raw\Aalborg\4 Test of videos\man1\man1_64.png,data\processed\aalborg_clean\man1\man1_64.png,8444,-2.8456076383472544
man1,man1_65.png,data\raw\Aalborg\4 Test of videos\man1\man1_65.png,data\processed\aalborg_clean\man1\man1_65.png,7076,-2.8483462130415624
man1,man1_66.png,data\raw\Aalborg\4 Test of videos\man1\man1_66.png,data\processed\aalborg_clean\man1\man1_66.png,8519,-2.8364255781261756
man1,man1_67.png,data\raw\Aalborg\4 Test of videos\man1\man1_67.png,data\processed\aalborg_clean\man1\man1_67.png,8119,-2.8466272443758247
man1,man1_68.png,data\raw\Aalborg\4 Test of videos\man1\man1_68.png,data\processed\aalborg_clean\man1\man1_68.png,8224,-2.843639128515475
man1,man1_69.png,data\raw\Aalborg\4 Test of videos\man1\man1_69.png,data\processed\aalborg_clean\man1\man1_69.png,8335,-2.8476105919977566
man1,man1_70.png,data\raw\Aalborg\4 Test of videos\man1\man1_70.png,data\processed\aalborg_clean\man1\man1_70.png,8409,-2.840659912483352
man1,man1_71.png,data\raw\Aalborg\4 Test of videos\man1\man1_71.png,data\processed\aalborg_clean\man1\man1_71.png,8396,-2.840851775936464
man1,man1_72.png,data\raw\Aalborg\4 Test of videos\man1\man1_72.png,data\processed\aalborg_clean\man1\man1_72.png,8548,-2.8453270588149175
man1,man1_73.png,data\raw\Aalborg\4 Test of videos\man1\man1_73.png,data\processed\aalborg_clean\man1\man1_73.png,8357,-2.8124585825344846
man1,man1_74.png,data\raw\Aalborg\4 Test of videos\man1\man1_74.png,data\processed\aalborg_clean\man1\man1_74.png,8341,-2.8295705837247915
man1,man1_75.png,data\raw\Aalborg\4 Test of videos\man1\man1_75.png,data\processed\aalborg_clean\man1\man1_75.png,8357,-2.8330238388908113
man1,man1_76.png,data\raw\Aalborg\4 Test of videos\man1\man1_76.png,data\processed\aalborg_clean\man1\man1_76.png,8268,-2.8315861908545323
man1,man1_77.png,data\raw\Aalborg\4 Test of videos\man1\man1_77.png,data\processed\aalborg_clean\man1\man1_77.png,8306,-2.833660231348823
man1,man1_78.png,data\raw\Aalborg\4 Test of videos\man1\man1_78.png,data\processed\aalborg_clean\man1\man1_78.png,8329,-2.844213594611471
